,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),-0.652,0.102,1.9e-10,-0.896,0.0e+00
log(OD_BB),0.427,0.021,3.5e-90,0.186,2.9e-33
ASReC_R,0.492,0.045,2.8e-27,0.211,1.2e-42
n-fSNP,0.23,0.019,5.7e-33,0.302,3.0e-89
ASReC_R:n-fSNP,0.098,0.017,1.4e-08,-0.029,2.8e-02
ASReC_R:log(OD_BB),0.194,0.017,1.6e-28,0.089,2.1e-11
n-fSNP:log(OD_BB),0.149,0.017,2.0e-18,0.082,3.1e-10
ASReC_R:n-fSNP:log(OD_BB),0.052,0.013,3.4e-05,-0.047,9.6e-08
n-rSNP,0.09,0.016,1.2e-08,0.228,9.3e-51
log(OD_NB),-0.104,0.02,2.0e-07,0.036,2.0e-02
ASReC_T,-0.317,0.042,5.6e-14,0.144,1.1e-20
ASReC_T:ASReC_R,0.079,0.015,6.4e-08,0.006,6.5e-01
AF,0.056,0.015,1.2e-04,0.072,2.4e-06
Chi2-HWEC,-0.103,0.015,1.2e-12,-0.133,2.1e-18
Map.Err,-0.069,0.018,1.3e-04,0.035,3.2e-02
Ref.Bias,0.097,0.019,2.9e-07,0.061,9.8e-05
Med(perm-p),-0.093,0.025,1.9e-04,-0.22,9.4e-46
