nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,2.226292956,-0.089274271,0.325295958,0.44327463,0.448092846,0,0.674035902
ENSG00000272419.6,-5.47798054,0.256277386,0.4663108,0.515610739,0.488967398,0,0.692425214
ENSG00000227372.11,-2.89348989,0.163139053,0.131682898,0.102075738,0.107819204,0,0.411825147
ENSG00000265491.4,0.069549841,-0.003027479,0.896709472,0.913336096,0.913381477,0,0.798898868
ENSG00000131788.15,0.958871585,-0.046064601,0.362454452,0.409664591,0.409516186,1,0.656692647
ENSG00000265241.6,-0.760831714,0.035491863,0.374886461,0.428682594,0.429897102,0,0.666199206
ENSG00000235169.7,2.43213096,-0.183774635,0.169979621,0.051182622,0.048244011,0,0.289305091
ENSG00000265972.5,0.31443024,-0.012118317,0.004948821,0.039397405,0.041484125,0,0.266053826
ENSG00000264343.5,-2.069737091,0.093577718,0.32157226,0.392175766,0.390963933,0,0.646380026
ENSG00000268043.7,0.866507296,-0.036055158,0.389781185,0.491004415,0.491316875,0,0.692425214
ENSG00000131791.7,0.557565923,-0.021146288,0.256117018,0.403476697,0.405504469,0,0.654835
ENSG00000130764.9,-0.046983445,-0.003826765,0.888989311,0.827340075,0.827432283,0,0.780240473
ENSG00000131778.18,0.945687947,-0.036551733,0.009409687,0.051060036,0.051810994,0,0.297892462
ENSG00000116128.10,2.628140589,-0.134460424,0.046098453,0.048091281,0.051882364,0,0.297892462
ENSG00000162836.11,0.664987459,-0.032941639,0.227737651,0.249756236,0.251137025,0,0.563521468
ENSG00000263956.6,-0.398074235,0.04259844,0.735351692,0.478990619,0.47757647,0,0.687682122
ENSG00000274020.2,-1.036888307,0.048767664,0.08120328,0.117799603,0.123144096,0,0.439643334
ENSG00000231551.8,3.322419192,-0.160753272,0.009956579,0.018233175,0.019889849,0,0.17949296
ENSG00000225871.2,1.227441438,-0.050946339,0.517670126,0.601122875,0.601165946,1,0.727267425
ENSG00000270629.5,-3.567060651,0.211404813,0.584191721,0.534227048,0.51655978,0,0.701006951
ENSG00000178104.19,-2.324053672,0.119811026,0.02433415,0.024832898,0.024639435,1,0.205618521
ENSG00000269713.7,-5.952365938,0.332283593,0.107510311,0.085602521,0.083152743,0,0.367807191
ENSG00000274265.4,-1.890408068,0.111184825,0.596167117,0.542539031,0.541961141,0,0.70948538
ENSG00000271383.6,3.241624235,-0.15539081,0.04721714,0.065807801,0.080016084,0,0.362681378
ENSG00000116198.12,-2.239857652,0.100134893,2.90E-10,4.09E-08,3.89E-08,1,9.11E-06
ENSG00000150337.13,-6.914387077,0.336447691,0.004963133,0.008657322,0.016608696,0,0.160882586
ENSG00000203814.6,1.125609121,-0.042655555,0.309955747,0.454789152,0.457204293,0,0.678467059
ENSG00000261716.1,1.545685771,-0.063617958,0.298833017,0.403911112,0.402787119,0,0.653681676
