names.pvalb.,pvalb,permp
ENSG00000181404.15_1,6.33523922616937e-07,0.002
ENSG00000181404.15_2,9.12612775918288e-07,0.002
ENSG00000181404.15_3,2.32933253257034e-06,0.003
ENSG00000181404.15_4,2.47070751142381e-06,0.001
ENSG00000181404.15_5,9.11355061570545e-07,0.003
ENSG00000181404.15_6,1.08409035201426e-06,0
ENSG00000181404.15_7,1.02504587435773e-06,0.001
ENSG00000181404.15_8,6.17398952136891e-06,0.004
ENSG00000181404.15_9,4.88675628623304e-07,0.001
ENSG00000181404.15_10,5.01695107898162e-07,0
ENSG00000181404.15_11,7.66604416657167e-06,0.007
ENSG00000181404.15_12,1.80035054881321e-06,0.002
ENSG00000181404.15_13,4.64345644922706e-06,0.003
ENSG00000181404.15_14,7.05144845793389e-06,0.006
ENSG00000181404.15_15,9.67549827482361e-08,0
ENSG00000181404.15_16,5.42164391681663e-06,0
ENSG00000181404.15_17,2.76141382942935e-06,0
ENSG00000181404.15_18,1.86264080401199e-06,0
ENSG00000181404.15_19,5.70545176992495e-06,0.003
ENSG00000181404.15_20,1.3797127804391e-05,0.004
ENSG00000181404.15_21,1.20154916065286e-06,0.002
ENSG00000181404.15_22,8.24287877635713e-06,0.003
ENSG00000181404.15_23,3.17900706316467e-07,0
ENSG00000181404.15_24,3.34255274852587e-06,0.004
ENSG00000181404.15_25,1.94344613294102e-06,0.001
ENSG00000181404.15_26,6.95457776978936e-07,0.001
ENSG00000181404.15_27,6.79773839050399e-06,0.003
ENSG00000181404.15_28,8.33654517688166e-06,0.002
ENSG00000181404.15_29,2.82732952079711e-06,0.002
ENSG00000181404.15_30,1.37338641481522e-05,0.01
ENSG00000181404.15_31,8.57513617452181e-06,0.007
ENSG00000181404.15_32,1.56856289415438e-05,0.012
ENSG00000181404.15_33,3.49020581876561e-06,0.003
ENSG00000181404.15_34,2.06667426473572e-06,0
ENSG00000181404.15_35,1.8996653387946e-05,0.008
ENSG00000181404.15_36,9.02975492952279e-06,0.006
ENSG00000181404.15_37,7.07580079130063e-07,0.001
ENSG00000181404.15_38,2.48430012150435e-06,0.002
ENSG00000181404.15_39,9.52276944782023e-08,0
ENSG00000181404.15_40,6.66800977295628e-06,0.003
ENSG00000181404.15_41,1.95532991907326e-05,0.012
ENSG00000181404.15_42,1.78100263755022e-05,0.013
ENSG00000181404.15_43,1.17119828859886e-06,0
ENSG00000181404.15_44,1.88293440338724e-06,0.001
ENSG00000181404.15_45,5.31977934442565e-05,0.035
ENSG00000181404.15_46,5.49812334305952e-05,0.035
ENSG00000181404.15_47,2.52101399017119e-05,0.015
ENSG00000181404.15_48,1.66229827989853e-05,0.012
ENSG00000181404.15_49,1.09223668230418e-05,0.005
ENSG00000181404.15_50,6.87040365271199e-06,0.004
ENSG00000181404.15_51,5.69588440880616e-05,0.026
ENSG00000181404.15_52,3.55718340376682e-05,0.025
ENSG00000181404.15_53,3.74402523115668e-05,0.021
ENSG00000181404.15_54,0.000116469614671394,0.051
ENSG00000181404.15_55,4.97662618998264e-05,0.031
ENSG00000181404.15_56,3.27553116004659e-05,0.012
ENSG00000181404.15_57,6.56177866516125e-05,0.042
ENSG00000181404.15_58,0.000131187943643862,0.063
ENSG00000181404.15_59,5.0127546648884e-06,0.002
ENSG00000181404.15_60,7.00910969467229e-05,0.038
ENSG00000181404.15_61,8.58319101681974e-05,0.042
ENSG00000181404.15_62,0.000140571176184047,0.077
ENSG00000181404.15_63,0.000175024224359762,0.078
ENSG00000181404.15_64,0.000106926364918336,0.06
