nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000266338.6,0.43547447,-2.673916234,-0.050386226,0.038882671,-0.005248261,0.333832247,3.59E-16,0.491865751,0.694942084,0.959990047,0.959654933,0,0.911929952
ENSG00000227372.11,-0.007349596,-2.907296308,-0.054810808,-0.054052164,0.034353887,0.98725757,4.87E-12,0.540940561,0.510869266,0.749658869,0.750709416,0,0.892224898
ENSG00000265491.4,0.237366701,-5.65232868,0.018682771,-0.005382219,-0.058650069,0.02352224,6.63E-11,0.47253,0.873849971,0.026002838,0.026648147,0,0.433160021
ENSG00000131788.15,0.375247345,NA,0.010099417,-0.13603955,-0.079953171,0.078664666,NA,0.807689336,0.367992923,0.135644287,0.13521545,1,0.666164948
ENSG00000265241.6,0.221841934,-5.29102541,0.018522689,0.180395438,-0.061562298,0.214554803,6.39E-13,0.548534721,0.177701107,0.14490875,0.148634889,0,0.680296768
ENSG00000235169.7,-0.177946361,-3.326313621,-0.143725276,0.042378479,-0.23674206,0.62159056,4.07E-12,0.033186795,0.818160604,0.007582373,0.008478622,0,0.285326403
ENSG00000265972.5,0.100094369,-7.125187979,-0.003586539,0.00230876,-0.004888918,6.21E-05,0,0.40538731,0.59363558,0.413571635,0.414482311,0,0.819287424
ENSG00000264343.5,-0.032711654,-1.950459029,-0.115620608,0.01021433,-0.060870996,0.927528981,1.07E-20,0.332375387,0.91402914,0.492044863,0.49157493,0,0.844181348
ENSG00000268043.7,0.179584016,-3.285978717,0.144893711,-0.049588121,0.00081634,0.328107517,1.98E-45,0.000573491,0.189195886,0.985527763,0.985501973,0,0.914073668
ENSG00000131791.7,0.261497899,-6.302252925,0.021476535,-0.00936887,-0.029797531,0.006657347,2.02E-05,0.472105053,0.758141343,0.209209593,0.209150652,0,0.729245964
ENSG00000130764.9,-0.108650341,-5.302955183,0.01299648,-0.026003199,-0.003529145,0.106401222,1.31E-63,0.42565203,0.488274603,0.832124524,0.8330706,0,0.899953321
ENSG00000131778.18,0.214189811,-5.152747534,0.016061336,-0.000331071,0.004820449,0.012784608,2.05E-55,0.491296572,0.989389574,0.814537624,0.814657928,0,0.89959717
ENSG00000116128.10,-0.145222556,-4.323954758,0.006235075,-0.021858914,0.048584053,0.557847039,1.78E-05,0.911818686,0.56130864,0.434153962,0.435280874,0,0.825824072
ENSG00000162836.11,0.220181308,-4.879286684,-0.041161167,-0.028866825,-0.045893213,0.05561581,6.10E-28,0.181947098,0.418052907,0.093778646,0.09616848,0,0.615205095
ENSG00000263956.6,0.273625683,-2.941058586,0.086976116,0.097345232,0.041580468,0.246936772,1.08E-36,0.107053402,0.163879719,0.455669732,0.455508232,0,0.832452148
ENSG00000274020.2,-0.194955322,-4.785698558,0.010746964,-0.018427544,0.021547928,0.130154026,3.70E-32,0.822659527,0.60431355,0.497684726,0.502372437,0,0.8461247
ENSG00000231551.8,0.306161481,-3.551997718,0.01481459,-0.083774134,0.004776196,0.285911627,4.50E-15,0.873453955,0.023357855,0.946224092,0.946175968,0,0.910861406
ENSG00000225871.2,0.590346571,NA,-0.109306611,-0.252454967,-0.123580678,0.107179301,NA,0.134369296,0.258888357,0.185663366,0.183817137,1,0.720497401
ENSG00000270629.5,-1.581515811,-0.517871424,-0.026902965,-3.704552501,0.161614308,0.28554562,0.143939777,0.951532995,0.399924359,0.62031776,0.61221671,0,0.872226157
ENSG00000178104.19,0.096085736,NA,0.117039153,0.010804712,-0.03913466,0.53861179,NA,0.171984173,0.824517128,0.359133705,0.359042305,1,0.797666037
