nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000266338.6,0.32249131,-2.67300935,-0.050949352,0.039734467,0.003997369,0.895859552,3.62E-16,0.488449657,0.684433355,0.970274501,0.969958698,0,0.730512802
ENSG00000227372.11,-2.598443639,-2.982877624,-0.021648078,-0.05112984,0.123953744,0.291724654,5.70E-12,0.816709449,0.528972233,0.267602966,0.270211167,0,0.510416047
ENSG00000265491.4,0.351373271,-5.49100379,0.013978666,-0.005978779,-0.015017305,0.559334109,4.81E-13,0.595620138,0.860945695,0.57201583,0.572074054,0,0.636975019
ENSG00000131788.15,1.028900378,NA,0.008936382,-0.149397426,-0.043002283,0.381774444,NA,0.829490389,0.321736617,0.414476149,0.414361245,1,0.583971778
ENSG00000265241.6,-0.731970308,-5.198067382,0.025693054,0.148575533,0.031424348,0.47162694,8.10E-14,0.405305351,0.258452786,0.486825722,0.488791837,0,0.610458472
ENSG00000235169.7,1.208425923,-3.149497905,-0.168889443,0.053415329,-0.103946693,0.598685115,8.54E-13,0.01739667,0.773491725,0.310193351,0.314422,0,0.537925409
ENSG00000265972.5,0.441803034,-7.198572393,-0.00491212,0.001572759,-0.016135587,0.000813626,0,0.242600465,0.708954095,0.006121537,0.0069001,0,0.083467372
ENSG00000264343.5,-2.20777943,-1.963183209,-0.096276497,0.015009892,0.08606298,0.332364596,7.85E-21,0.426495484,0.873176294,0.394668064,0.393098759,0,0.576631606
ENSG00000268043.7,1.801640036,-3.329597481,0.147953517,-0.051849278,-0.071555057,0.083353504,7.15E-45,0.00035344,0.164686543,0.119264708,0.121446841,0,0.37997805
ENSG00000131791.7,0.28657678,-6.263064936,0.020704291,-0.010611063,-0.006246665,0.601008919,1.14E-05,0.488866628,0.729979953,0.795287204,0.795525077,0,0.696573835
ENSG00000130764.9,0.208518173,-5.325483985,0.013784084,-0.026957837,-0.014679123,0.597614636,2.29E-62,0.397315715,0.471161798,0.401765029,0.40228754,0,0.578850969
ENSG00000131778.18,1.09304743,-5.191573656,0.015699133,-0.005372127,-0.037723056,0.010856665,1.55E-53,0.497725421,0.828770689,0.044986681,0.04537579,0,0.245164149
ENSG00000116128.10,3.841628781,-5.049391164,-0.003912688,-0.030202753,-0.16752648,0.018721513,0.00629581,0.941798164,0.40401834,0.019759711,0.024157986,0,0.177554972
ENSG00000162836.11,0.55733068,-4.805421821,-0.04765007,-0.030515518,-0.023148178,0.372740656,8.27E-30,0.12134134,0.39509851,0.401448872,0.402094679,0,0.578850969
ENSG00000263956.6,0.247870303,-2.936248231,0.091966884,0.093727543,0.008596941,0.841966803,9.72E-37,0.087249238,0.178868197,0.873945682,0.874011388,0,0.712322858
ENSG00000274020.2,-1.591746882,-4.967113857,0.01467625,-0.015957461,0.066022576,0.01868115,3.74E-28,0.748175748,0.643848231,0.028392447,0.032860265,0,0.209524775
ENSG00000231551.8,4.089786995,-3.7132053,-0.027973496,-0.083974581,-0.16904185,0.011755832,7.62E-14,0.757265494,0.018141537,0.020318597,0.021855833,0,0.165602825
ENSG00000225871.2,1.110419695,NA,-0.131627399,-0.178610536,-0.043418393,0.655752467,NA,0.07921926,0.411117951,0.69281466,0.69256209,1,0.673394605
ENSG00000270629.5,1.446274137,-0.515141032,-0.014256998,-4.429753834,-0.121164522,0.845886257,0.145125149,0.974661787,0.347107449,0.727047218,0.713838261,0,0.67946832
ENSG00000178104.19,-2.816190277,NA,0.091475779,0.021694165,0.122324756,0.015780276,NA,0.285628926,0.657958343,0.017188185,0.017036638,1,0.144226588
ENSG00000269713.7,-5.279278465,-1.099914099,0.211410453,0.069986444,0.249677859,0.227337645,1.25E-05,0.233449808,0.266908626,0.195557169,0.187148747,0,0.4477788
ENSG00000274265.4,1.050750569,-2.692760919,-0.469260293,-0.079358028,-0.027697049,0.791816379,1.09E-05,0.156382644,0.28092343,0.873270207,0.87346887,0,0.712322858
ENSG00000271383.6,4.733453222,-3.430206003,-0.005485842,-0.883989484,-0.209429777,0.015621194,1.30E-26,0.94746046,0.20421959,0.01717591,0.025806032,0,0.184266187
ENSG00000116198.12,-2.272881144,-7.503230386,-0.01022195,0.000973898,0.086994224,1.30E-07,0.020527125,0.615395956,0.955054545,4.16E-06,7.53E-06,0,0.000538317
ENSG00000150337.13,-10.23563117,-2.736168212,-0.25437259,1.472332783,0.444079945,0.001294538,5.48E-10,0.246273561,0.499159492,0.003001564,0.00827685,0,0.094380798
ENSG00000203814.6,-0.42567295,-3.185139205,0.132280857,0.044308879,0.031697985,0.759240504,1.38E-55,0.019192001,0.784617201,0.603904369,0.606540194,0,0.649222969
ENSG00000261716.1,2.941192413,-5.000564422,0.028213188,0.072029527,-0.114039436,0.107596944,7.14E-06,0.572020985,0.812702737,0.152965241,0.157811125,0,0.421373301
ENSG00000169598.15,0.845484038,NA,-0.000654853,0.15781693,-0.030735174,0.340551842,NA,0.988091856,0.097349101,0.427192319,0.427111575,1,0.589956019
ENSG00000178096.8,-0.376536588,-5.157127561,0.382598574,-0.005642858,0.02347375,0.872772479,0.038276041,0.040362269,0.985129916,0.823124375,0.824385812,0,0.704171597
ENSG00000143368.9,0.997524018,-6.535976693,-0.069606404,0.779020082,-0.030852261,0.260418437,0.000888114,0.32415377,0.131201406,0.444393125,0.451701011,0,0.597101535
ENSG00000198912.10,0.578727705,-5.723954577,-0.125924816,-0.019580687,-0.036913155,0.25268506,3.54E-13,0.000320811,0.402037983,0.096186094,0.098713394,0,0.348502099
ENSG00000023902.13,1.827207261,NA,0.056290361,-0.034518469,-0.080455718,0.122346805,NA,0.04508336,0.720352705,0.123909238,0.123675697,1,0.382803579
ENSG00000143401.14,-0.525093786,NA,0.162550113,-0.034563541,0.021619114,0.538635433,NA,0.450826143,0.68958593,0.565653544,0.565629201,1,0.635289152
ENSG00000117362.12,0.081113938,-7.119798319,-0.0130695,-0.020790543,0.000213969,0.855039538,1.75E-05,0.565495606,0.078469989,0.991328753,0.991410014,0,0.735665401
ENSG00000266472.5,-0.338695584,-6.131029604,-0.01527768,-0.061118153,0.007073099,0.470562995,4.27E-18,0.503471019,0.016317417,0.73312695,0.736638706,0,0.682815306
ENSG00000117360.12,0.705211266,-5.787415797,0.024351107,-0.070150695,-0.026412838,0.201737303,2.22E-14,0.188920759,0.004660555,0.278646162,0.284177442,0,0.520358145
ENSG00000163125.15,0.52840312,NA,0.022579291,0.04155486,-0.017398681,0.26750582,NA,0.377201252,0.085435766,0.408861887,0.408842347,1,0.58108496
ENSG00000143374.16,0.067248449,-3.710516376,-0.064548185,-0.012820531,-0.010380594,0.949283465,7.55E-29,0.220499057,0.825892289,0.823721786,0.823957596,0,0.704171597
ENSG00000143369.14,-0.686496029,-5.140674393,-0.100195771,-1.108256588,0.007963628,0.804491769,0.207601491,0.6829748,0.467429193,0.946275885,0.946220318,0,0.725881199
ENSG00000237781.3,0.846215142,-2.988227985,0.008778683,0.047326911,-0.047433997,0.450155754,2.06E-43,0.888512628,0.60244116,0.340487577,0.339659938,0,0.553416829
ENSG00000143382.14,1.18385428,-2.972193044,0.146540872,0.22633777,-0.031898811,0.469873006,1.15E-41,0.005465559,0.48424916,0.660421142,0.664403362,0,0.664402823
ENSG00000203804.4,0.786010175,-3.439780915,-0.052530877,0.011710907,-0.017137491,0.638129961,2.17E-16,0.592494553,0.820759298,0.82141542,0.820745703,0,0.703381111
ENSG00000143384.12,0.107109355,-6.734587506,0.010092622,-8.66E-05,0.001699116,0.581235711,3.31E-187,0.411563192,0.990363979,0.843682253,0.843854584,0,0.706453933
ENSG00000143420.18,-0.433290536,-5.21737052,0.051170588,0.02632617,0.022692917,0.388049506,4.99E-57,0.080206295,0.116100754,0.306643,0.306600701,0,0.534307839
ENSG00000143457.10,0.227292959,-5.544810218,-0.027565959,0.004415823,-0.018176649,0.788931779,1.88E-06,0.554964528,0.911393741,0.63098228,0.635267215,0,0.656525806
