nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.614035656,0.005669926,0.508936164,0.935173258,0.935327132,0,0.79324571
ENSG00000272419.6,-8.331692743,0.61545588,0.046297835,0.063145801,0.052604859,0,0.30059191
ENSG00000227372.11,-0.770790693,0.054609707,0.044182644,0.064151038,0.06402106,1,0.329915713
ENSG00000265491.4,-0.292723418,0.026343313,0.344302845,0.271628811,0.271736597,0,0.571010569
ENSG00000186141.8,-1.904164326,0.165623258,0.426243146,0.359616816,0.366527612,0,0.62512637
ENSG00000131788.15,-0.24784595,0.028221393,0.794496057,0.707816002,0.707693285,0,0.744050031
ENSG00000265241.6,-0.311375529,0.031376262,0.598386621,0.477880147,0.477905064,1,0.673039407
ENSG00000235169.7,0.632507495,-0.128444298,0.698526704,0.318980561,0.304581159,0,0.588605381
ENSG00000271601.3,-1.977642904,0.156525841,0.001871424,0.001423611,0.001554542,0,0.033056587
ENSG00000265972.5,0.163509294,-0.00620179,0.0236392,0.27118768,0.273108212,0,0.571228617
ENSG00000264343.5,-0.330729193,0.003604464,0.807351793,0.973250242,0.973241382,0,0.801962217
ENSG00000268043.7,-0.163979672,0.028930063,0.714986182,0.40488388,0.405655062,0,0.645342401
ENSG00000131791.7,0.680603126,-0.041593258,0.022653424,0.073830786,0.077598745,0,0.359453958
ENSG00000130764.9,0.347540233,-0.036537049,0.10699572,0.029559413,0.031477073,0,0.23513166
ENSG00000131778.18,1.275484843,-0.080740154,1.86E-07,2.01E-05,2.43E-05,0,0.001282161
ENSG00000116128.10,-0.37315157,0.039483858,0.690844759,0.588187948,0.588492037,0,0.713483409
ENSG00000162836.11,-0.003214312,-0.007005085,0.992775966,0.80168329,0.801726344,0,0.768125975
ENSG00000263956.6,-4.429988853,0.358445369,0.001037933,0.000583864,0.000730537,0,0.019015339
ENSG00000274020.2,-0.243602113,0.010671813,0.562694327,0.748322266,0.749272477,0,0.756288726
ENSG00000231551.8,-0.346746319,0.006167433,0.655062263,0.918581403,0.918595765,0,0.790121964
ENSG00000225871.2,1.725499965,-0.11586741,0.124137492,0.182876464,0.182390001,1,0.498335354
ENSG00000280649.2,1.649545965,-0.137888289,0.439817614,0.399616652,0.399734349,0,0.641633703
