Name chr start end width strand leno
27149 ENSG00000227232.5 chr1 14410 29553 15144 - 15144
53699 ENSG00000278267.1 chr1 17369 17436 68 - 68
34478 ENSG00000238009.6 chr1 89295 129223 39929 - 39929
31566 ENSG00000233750.3 chr1 131025 134836 3812 + 3812
49265 ENSG00000268903.1 chr1 135141 135895 755 - 755
49598 ENSG00000269981.1 chr1 137682 137965 284 - 284
35200 ENSG00000239906.1 chr1 139790 140339 550 - 550
35973 ENSG00000241860.6 chr1 141474 173862 32389 - 32389
54815 ENSG00000279928.2 chr1 182696 184174 1479 + 1479
54450 ENSG00000279457.4 chr1 185217 195411 10195 - 10195
27965 ENSG00000228463.9 chr1 257864 297502 39639 - 39639
33840 ENSG00000237094.11 chr1 366053 501617 135565 - 135565
38942 ENSG00000250575.1 chr1 491225 493241 2017 - 2017
26265 ENSG00000225972.1 chr1 629062 629433 372 + 372
26028 ENSG00000225630.1 chr1 629640 630683 1044 + 1044
34449 ENSG00000237973.1 chr1 631074 632616 1543 + 1543
28553 ENSG00000229344.1 chr1 632757 633438 682 + 682
35404 ENSG00000240409.1 chr1 633535 633695 161 + 161
37650 ENSG00000248527.1 chr1 633742 634375 634 + 634
17818 ENSG00000198744.5 chr1 634377 634922 546 + 546
27871 ENSG00000228327.3 chr1 725885 778626 52742 - 52742
34120 ENSG00000237491.8 chr1 778770 810060 31291 + 31291
28187 ENSG00000228794.8 chr1 825138 859446 34309 + 34309
26197 ENSG00000225880.5 chr1 826206 827522 1317 - 1317
16818 ENSG00000188976.10 chr1 944582 959309 14728 - 14728
16564 ENSG00000187961.13 chr1 960587 965715 5129 + 5129
16458 ENSG00000187583.10 chr1 966497 975108 8612 + 8612
16475 ENSG00000187642.9 chr1 975204 982093 6890 - 6890
16643 ENSG00000188290.10 chr1 998962 1000172 1211 - 1211
16465 ENSG00000187608.8 chr1 1001138 1014541 13404 + 13404
16614 ENSG00000188157.14 chr1 1020123 1056118 35996 + 35996
23375 ENSG00000217801.9 chr1 1059734 1069355 9622 + 9622
6458 ENSG00000131591.17 chr1 1081818 1116361 34544 - 34544
16323 ENSG00000186891.13 chr1 1203508 1206691 3184 - 3184
